talent_id,talent_name,birth_year,death_year
nm0000002,Lauren Bacall,1924,2014
nm0000025,Jerry Goldsmith,1929,2004
nm0000058,Maureen O'Hara,1920,2015
nm0000090,Armin Mueller-Stahl,1930,0
nm0000097,Pamela Anderson,1967,0
nm0000098,Jennifer Aniston,1969,0
nm0000104,Antonio Banderas,1960,0
nm0000109,Yasmine Bleeth,1968,0
nm0000129,Tom Cruise,1962,0
nm0000155,Whoopi Goldberg,1955,0
nm0000165,Ron Howard,1954,0
nm0000192,Alyssa Milano,1972,0
nm0000204,Natalie Portman,1981,0
nm0000215,Susan Sarandon,1946,0
nm0000226,Will Smith,1968,0
nm0000238,Shannon Tweed,1957,0
nm0000288,Christian Bale,1974,0
nm0000305,Mel Blanc,1908,1989
nm0000324,Barbara Carrera,1945,0
nm0000328,Richard Chamberlain,1934,0
nm0000343,David Cronenberg,1943,0
nm0000350,Beverly D'Angelo,1951,0
nm0000367,Gérard Depardieu,1948,0
nm0000372,Amanda Donohoe,1962,0
nm0000407,Vivica A. Fox,1964,0
nm0000491,John Leguizamo,1964,0
nm0000506,Julia Louis-Dreyfus,1961,0
nm0000511,Shirley MacLaine,1934,0
nm0000514,Michael Madsen,1957,0
nm0000538,Colm Meaney,1953,0
nm0000636,William Shakespeare,1564,1616
nm0000740,Irwin Allen,1916,1991
nm0000782,Asia Argento,1975,0
nm0000791,Jack Arnold,1912,1992
nm0000794,Lewis Arquette,1935,2001
nm0000804,Stéphane Audran,1932,2018
nm0000836,Scott Bakula,1954,0
nm0000860,Paul Bartel,1938,2000
nm0000874,Steven Bauer,1956,0
nm0000875,L. Frank Baum,1856,1919
nm0000881,Michael Bay,1965,0
nm0000882,Nathalie Baye,1948,0
nm0000902,Jim Belushi,1954,0
nm0000925,Steven Berkoff,1937,0
nm0000949,Cate Blanchett,1969,0
nm0000977,Beau Bridges,1941,0
nm0000993,Carol Burnett,1933,0
nm0000994,Raymond Burr,1917,1993
nm0000995,Ellen Burstyn,1932,0
nm0000996,LeVar Burton,1957,0
nm0001002,Dean Cain,1966,0
nm0001014,Mariah Carey,1969,0
nm0001043,Anna Chlumsky,1980,0
nm0001101,Ted Danson,1947,0
nm0001103,Tony Danza,1951,0
nm0001122,Ellen DeGeneres,1958,0
nm0001152,Illeana Douglas,1961,0
nm0001184,Jenna Elfman,1971,0
nm0001198,Debrah Farentino,1959,0
nm0001225,Nina Foch,1924,2008
nm0001240,Dennis Franz,1944,0
