talent_id,role_id,order
nm0000002,4,1
nm0000002,1,2
nm0000025,5,1
nm0000025,1,2
nm0000025,10,3
nm0000058,4,1
nm0000058,1,2
nm0000090,2,1
nm0000090,7,2
nm0000090,6,3
nm0000097,4,1
nm0000097,8,2
nm0000097,7,3
nm0000098,4,1
nm0000098,8,2
nm0000098,1,3
nm0000104,2,1
nm0000104,1,2
nm0000104,6,3
nm0000109,4,1
nm0000129,2,1
nm0000129,8,2
nm0000129,1,3
nm0000155,4,1
nm0000155,8,2
nm0000155,6,3
nm0000165,2,1
nm0000165,8,2
nm0000165,6,3
nm0000192,4,1
nm0000192,8,2
nm0000192,1,3
nm0000204,4,1
nm0000204,8,2
nm0000204,1,3
nm0000215,4,1
nm0000215,8,2
nm0000215,1,3
nm0000226,8,1
nm0000226,2,2
nm0000226,1,3
nm0000238,4,1
nm0000238,8,2
nm0000238,3,3
nm0000288,2,1
nm0000288,19,2
nm0000288,8,3
nm0000305,2,1
nm0000305,1,2
nm0000305,5,3
nm0000324,4,1
nm0000324,1,2
nm0000328,2,1
nm0000328,1,2
nm0000328,8,3
nm0000343,7,1
nm0000343,2,2
nm0000343,6,3
nm0000350,4,1
nm0000350,1,2
nm0000350,8,3
nm0000367,2,1
nm0000367,8,2
nm0000367,1,3
nm0000372,4,1
nm0000372,8,2
nm0000407,4,1
nm0000407,8,2
nm0000407,1,3
nm0000491,2,1
nm0000491,6,2
nm0000491,8,3
nm0000506,4,1
nm0000506,8,2
nm0000506,1,3
nm0000511,4,1
nm0000511,1,2
nm0000511,6,3
nm0000514,2,1
nm0000514,8,2
nm0000514,6,3
nm0000538,2,1
nm0000538,8,2
nm0000538,1,3
nm0000636,6,1
nm0000636,1,2
nm0000636,3,3
nm0000740,6,1
nm0000740,8,2
nm0000740,7,3
nm0000782,4,1
nm0000782,7,2
nm0000782,6,3
nm0000791,7,1
nm0000791,8,2
nm0000791,6,3
nm0000794,2,1
nm0000794,6,2
nm0000794,8,3
nm0000804,4,1
nm0000804,1,2
nm0000836,2,1
nm0000836,8,2
nm0000836,1,3
nm0000860,2,1
nm0000860,7,2
nm0000860,6,3
nm0000874,2,1
nm0000874,8,2
nm0000874,1,3
nm0000875,6,1
nm0000875,8,2
nm0000875,3,3
nm0000881,8,1
nm0000881,7,2
nm0000881,2,3
nm0000882,4,1
nm0000882,1,2
nm0000902,2,1
nm0000902,5,2
nm0000902,8,3
nm0000925,2,1
nm0000925,6,2
nm0000925,7,3
nm0000949,4,1
nm0000949,8,2
nm0000949,6,3
nm0000977,2,1
nm0000977,7,2
nm0000977,8,3
nm0000993,1,1
nm0000993,4,2
nm0000993,8,3
nm0000994,2,1
nm0000994,26,2
nm0000994,7,3
nm0000995,4,1
nm0000995,8,2
nm0000995,1,3
nm0000996,2,1
nm0000996,7,2
nm0000996,8,3
nm0001002,2,1
nm0001002,8,2
nm0001002,6,3
nm0001014,1,1
nm0001014,4,2
nm0001014,10,3
nm0001043,4,1
nm0001101,2,1
nm0001101,8,2
nm0001101,1,3
nm0001103,2,1
nm0001103,8,2
nm0001103,7,3
nm0001122,8,1
nm0001122,6,2
nm0001122,4,3
nm0001152,4,1
nm0001152,8,2
nm0001152,6,3
nm0001184,4,1
nm0001184,8,2
nm0001184,1,3
nm0001198,4,1
nm0001198,8,2
nm0001225,4,1
nm0001225,3,2
nm0001225,1,3
nm0001240,2,1
nm0001240,6,2
nm0001240,8,3
nm0001241,7,1
nm0001241,8,2
nm0001241,2,3
nm0001263,2,1
nm0001263,7,2
nm0001263,6,3
nm0001288,2,1
nm0001288,8,2
nm0001288,1,3
nm0001319,2,1
nm0001319,8,2
nm0001319,7,3
nm0001327,2,1
nm0001327,8,2
nm0001327,6,3
nm0001340,4,1
nm0001340,7,2
nm0001345,2,1
nm0001345,6,2
nm0001345,8,3
nm0001348,7,1
nm0001348,6,2
nm0001348,2,3
