talent_id,title_id
nm0002349,tt0096583
nm0002558,tt0403508
nm0002605,tt5615700
nm0004459,tt0215719
nm0005582,tt0305472
nm0006056,tt0403508
nm0006468,tt0201289
nm0009167,tt3059532
nm0010072,tt0305472
nm0012233,tt8697870
nm0015810,tt0403508
nm0017835,tt0032050
nm0018446,tt0091970
nm0018933,tt0064242
nm0022254,tt0059601
nm0023755,tt0482123
nm0023852,tt1785353
nm0028858,tt1470539
nm0036568,tt1470539
nm0039497,tt0328788
nm0040827,tt0096583
nm0044206,tt0110425
nm0051914,tt0215719
nm0054164,tt13672954
nm0055617,tt1470539
nm0057470,tt8697870
nm0061140,tt1562310
nm0063112,tt0403508
nm0063136,tt0110425
nm0068914,tt0110425
nm0070012,tt0210944
nm0070524,tt0055005
nm0071323,tt8697870
nm0072855,tt8697870
nm0076997,tt8697870
nm0081290,tt0110425
nm0082923,tt0096583
nm0084211,tt0096583
nm0086097,tt0477472
nm0087468,tt0167559
nm0087687,tt0900953
nm0088127,tt0403508
nm0093256,tt0408133
nm0095026,tt0295970
nm0096219,tt0110425
nm0096915,tt0115058
nm0097243,tt0032050
nm0099370,tt0110425
nm0101799,tt0403508
nm0106373,tt0305472
nm0113221,tt0138976
nm0113536,tt0403508
nm0122895,tt13830348
nm0127980,tt0055005
nm0129189,tt0096583
nm0130153,tt0215719
nm0136929,tt0096583
nm0139617,tt0201289
nm0140315,tt0138976
nm0141045,tt0403508
nm0143454,tt0215719
nm0143993,tt0096583
nm0146529,tt8697870
nm0147392,tt0096583
nm0151358,tt0403508
nm0153441,tt0167559
nm0153744,tt0403508
nm0157448,tt1969061
nm0159390,tt0110425
nm0165998,tt2309001
nm0169486,tt2268732
nm0173532,tt0027467
nm0174761,tt0215719
nm0178122,tt8697870
nm0186614,tt3038606
nm0187136,tt0064242
nm0191545,tt0417374
nm0192318,tt0403508
nm0192460,tt0138976
nm0194703,tt0119759
nm0199603,tt0305472
nm0204414,tt0263003
nm0204987,tt0403508
nm0205665,tt0324120
nm0212508,tt5615700
nm0213734,tt0138976
nm0214633,tt0281834
nm0215080,tt4701906
nm0216262,tt0096583
nm0218788,tt1500493
nm0220682,tt0403508
nm0222285,tt0096583
nm0222748,tt0201289
nm0226770,tt0356803
nm0227121,tt0096583
nm0228234,tt0055005
nm0229433,tt0032050
nm0231056,tt0032050
nm0232643,tt0096583
nm0232764,tt8697870
nm0233238,tt0215719
nm0235361,tt0403508
nm0236983,tt0403508
nm0241055,tt1003071
nm0241709,tt0482123
nm0242830,tt8697870
nm0245298,tt0055005
nm0250239,tt0096583
nm0251384,tt0215719
nm0254379,tt0403508
nm0254575,tt0096583
nm0256972,tt0215719
nm0258286,tt0403508
nm0262897,tt0096583
nm0263586,tt5635832
nm0268416,tt0143707
nm0270342,tt5615700
nm0270525,tt0087367
nm0270544,tt0201289
nm0272061,tt0215719
nm0277296,tt0305472
nm0277817,tt0403508
nm0283490,tt0096583
nm0283556,tt2918606
nm0289924,tt0239444
nm0294292,tt0138976
nm0297915,tt0328788
nm0299549,tt0078095
nm0303572,tt13830348
nm0304536,tt0138976
nm0305189,tt2016460
nm0307193,tt0366082
nm0310394,tt0036620
nm0312322,tt0281834
nm0316494,tt0403508
nm0316893,tt0403508
nm0317408,tt0403508
nm0319320,tt5615700
nm0320118,tt0403508
nm0323541,tt0064242
nm0329210,tt8697870
nm0330774,tt0064242
nm0331361,tt5615700
nm0333314,tt0403508
nm0334290,tt8697870
nm0335061,tt0770819
nm0342249,tt0305472
nm0345652,tt0267734
nm0346699,tt0403508
nm0347662,tt0215719
nm0348124,tt0215719
nm0348549,tt0064242
nm0353619,tt5615700
nm0354850,tt0403508
nm0355615,tt1500493
nm0357128,tt0059601
nm0358625,tt0110425
nm0364035,tt0096583
nm0364493,tt5615700
nm0365480,tt5615700
nm0366074,tt0096583
nm0370934,tt0770819
nm0371798,tt5615700
nm0373564,tt0096583
nm0375214,tt6910228
nm0377137,tt0041189
nm0379664,tt0412734
nm0382995,tt0091970
nm0383799,tt0403508
nm0385442,tt0403508
nm0385733,tt0324120
nm0387649,tt0138976
nm0389173,tt0305472
nm0392371,tt8697870
nm0394220,tt0403508
nm0394519,tt0096583
nm0396339,tt0096583
nm0398132,tt0403508
nm0398341,tt0239444
nm0399999,tt0477472
nm0402024,tt0215719
nm0403613,tt1176434
nm0404849,tt0157776
nm0410886,tt0403508
nm0413726,tt1470539
nm0414227,tt0096583
nm0418629,tt4947942
nm0421582,tt0403508
nm0423451,tt0115058
nm0431039,tt0110425
nm0437248,tt0445049
nm0443287,tt5615700
nm0443508,tt0032050
nm0444728,tt1470539
nm0445517,tt0138976
nm0445629,tt0064242
nm0447698,tt8697870
nm0451295,tt1202295
nm0453663,tt0333416
nm0454008,tt8697870
nm0454054,tt0403508
nm0456734,tt0403508
nm0458505,tt0403508
nm0461462,tt0096583
nm0463959,tt0032050
nm0464967,tt0078095
nm0465350,tt0403508
nm0469342,tt0055005
nm0469842,tt2268732
nm0470000,tt0138976
nm0471092,tt0403508
nm0473041,tt0032050
nm0474498,tt0032050
nm0477844,tt0096583
nm0480651,tt0032050
nm0481344,tt1562310
nm0486749,tt0403508
nm0490112,tt8697870
nm0493985,tt0239444
nm0497639,tt0186701
nm0500200,tt0305472
nm0500945,tt0055005
nm0502001,tt0096583
nm0502560,tt0022864
nm0503997,tt0036620
nm0505588,tt0366082
nm0507517,tt0009119
nm0510227,tt0472813
nm0510228,tt0305472
nm0510911,tt0157776
nm0513484,tt0482123
nm0515330,tt5615700
nm0515652,tt0900953
nm0524462,tt0324120
nm0524609,tt0055005
nm0529038,tt0041189
nm0529286,tt1371579
nm0530047,tt0239444
nm0531186,tt0295970
nm0531541,tt0201289
nm0532089,tt8697870
nm0537382,tt0403508
nm0540001,tt0096583
nm0540688,tt3059532
nm0548736,tt0096583
nm0548857,tt0096583
nm0549789,tt0119759
nm0549867,tt0239444
nm0550449,tt0403508
nm0556500,tt0032050
nm0559104,tt5615700
nm0562314,tt0403508
nm0562747,tt0091970
nm0564789,tt0215719
nm0564824,tt0206127
nm0565640,tt1202295
nm0566435,tt0215719
nm0567330,tt0403508
nm0571801,tt0096583
nm0575434,tt0230094
nm0578233,tt0338027
nm0579085,tt0045779
nm0579585,tt8697870
nm0580629,tt0096583
nm0581874,tt0055005
nm0586790,tt0239444
nm0588540,tt0138976
nm0592147,tt0119759
nm0593627,tt0215719
nm0596565,tt0775456
nm0600068,tt0403508
nm0600764,tt0096583
nm0600899,tt5615700
nm0601471,tt0096583
nm0602424,tt6566878
nm0604136,tt0403508
nm0607404,tt0096583
nm0609699,tt0091970
nm0609824,tt0096583
nm0614564,tt2071553
nm0617548,tt0491388
nm0624618,tt0013698
nm0624890,tt0248846
nm0625239,tt0305472
nm0625759,tt0482123
nm0627741,tt0096583
nm0630945,tt7099176
nm0640873,tt0096583
nm0641304,tt2268732
nm0642041,tt0477472
nm0649085,tt0361412
nm0650928,tt0239444
nm0651293,tt0087367
nm0651795,tt0482123
nm0652066,tt1470539
nm0654240,tt5615700
nm0657856,tt0403508
nm0658442,tt0403508
nm0659792,tt0196391
nm0661087,tt0403508
nm0665437,tt1470539
nm0668281,tt0403508
nm0670270,tt0087367
nm0670478,tt0403508
nm0671302,tt0096583
nm0673094,tt0110425
nm0675383,tt0096583
nm0678400,tt0403508
nm0684996,tt2268732
nm0685476,tt2268732
nm0688615,tt1817791
nm0688716,tt0032050
nm0689791,tt0073477
nm0690127,tt0032050
nm0691042,tt0064242
nm0695630,tt0403508
nm0701576,tt0032050
nm0702320,tt0900953
nm0705867,tt0064242
nm0706880,tt3038606
nm0708220,tt1808107
nm0714346,tt0277160
nm0715091,tt5615700
nm0721645,tt8697870
nm0725961,tt3479536
nm0731971,tt0403508
nm0736879,tt0138976
nm0741125,tt0403508
nm0748491,tt0110425
nm0751692,tt1969061
nm0752851,tt0096583
nm0754978,tt0403508
nm0757842,tt0239444
nm0757925,tt0022864
nm0758532,tt0096583
nm0761361,tt0041189
nm0772094,tt1174014
nm0774312,tt0248846
nm0774347,tt0403508
nm0777762,tt0087367
nm0778375,tt0253599
nm0780681,tt2463136
nm0795686,tt0215719
nm0795962,tt0143707
nm0797134,tt0215719
nm0806229,tt1176434
nm0806942,tt1785353
nm0811237,tt13326750
nm0828654,tt2918606
nm0829820,tt5615700
nm0833281,tt0491388
nm0841528,tt0096583
nm0848554,tt0403508
nm0849230,tt2473832
nm0849990,tt0215719
nm0850938,tt0821790
nm0855060,tt0215719
nm0855264,tt0403508
nm0855673,tt0110425
nm0856879,tt0096583
nm0857975,tt0215719
nm0858208,tt0110425
nm0861274,tt4248130
nm0864780,tt12229456
nm0868575,tt0138976
nm0869395,tt1483781
nm0869548,tt0403508
nm0870643,tt1954854
nm0880684,tt5615700
nm0882331,tt3479536
nm0882905,tt0277160
nm0883885,tt0119759
nm0884299,tt1470539
nm0884629,tt0032050
nm0897459,tt0167559
nm0900344,tt3479536
nm0906998,tt5615700
nm0909085,tt0403508
nm0909650,tt0096583
nm0912073,tt0770819
nm0912592,tt0201289
nm0913018,tt2780098
nm0916382,tt0421990
nm0917852,tt0477472
nm0923370,tt0055005
nm0927234,tt0403508
nm0927312,tt0403508
nm0929010,tt0096583
nm0931508,tt0403508
nm0933481,tt2309001
nm0934223,tt0403508
nm0934733,tt0110425
nm0935249,tt0087367
nm0940259,tt1500493
nm0941461,tt0138976
nm0949726,tt0403508
nm0957144,tt0138976
nm0959000,tt0770819
