title_id,content_type_id,primary_title,original_title,is_adult,start_year,end_year,runtime_minutes
tt0004551,1,A Rural Free Delivery Romance,A Rural Free Delivery Romance,0,1914,0,28
tt0009119,2,"God Bless Our Red, White and Blue","God Bless Our Red, White and Blue",0,1918,0,50
tt0013698,2,Tracked to Earth,Tracked to Earth,0,1922,0,50
tt0018251,2,Pals in Peril,Pals in Peril,0,1927,0,50
tt0022864,2,The Expert,The Expert,0,1932,0,68
tt0027467,2,The Country Beyond,The Country Beyond,0,1936,0,73
tt0032050,2,Tractor Drivers,Traktoristy,0,1939,0,84
tt0036620,2,Aufruhr der Herzen,Aufruhr der Herzen,0,1944,0,82
tt0041189,2,Blondie's Big Deal,Blondie's Big Deal,0,1949,0,66
tt0045779,1,For Whom the Bulls Toil,For Whom the Bulls Toil,0,1953,0,6
tt0050372,1,Die Fahrprüfung,Die Fahrprüfung,0,1957,0,3
tt0055005,2,Igre na skelama,Igre na skelama,0,1961,0,99
tt0059601,2,A Pistol for Ringo,Una pistola per Ringo,0,1965,0,98
tt0064242,2,Doi barbati pentru o moarte,Doi barbati pentru o moarte,0,1969,0,90
tt0068839,2,Legende contemporane,Legende contemporane,0,1972,0,0
tt0073477,1,Les oeillets fanes,Les oeillets fanes,0,1975,0,0
tt0078095,2,Podarok chyornogo kolduna,Podarok chyornogo kolduna,0,1979,0,63
tt0082739,2,Los mexicanos calientes,Los mexicanos calientes,0,1981,0,0
tt0087367,6,Grummetzeit,Grummetzeit,0,1984,0,0
tt0091970,6,Miss Marple: Sleeping Murder,Miss Marple: Sleeping Murder,0,1987,0,102
tt0096583,4,A Fine Romance,A Fine Romance,0,1989,1989,60
tt0101211,4,The Sunday Comics,The Sunday Comics,0,1991,1992,60
tt0105808,2,Where Are We? Our Trip Through America,Where Are We? Our Trip Through America,0,1992,0,73
tt0110425,2,La machine,La machine,0,1994,0,96
tt0115058,1,Zijn geheim,Zijn geheim,0,1995,0,17
tt0119759,6,Nascido em 1900,Nascido em 1900,0,1997,0,0
tt0124704,9,Hard Discipline 2: The Lady's Maid,Hard Discipline 2: The Lady's Maid,1,1993,0,0
tt0129439,9,The Training 2,The Training 2,1,1994,0,0
tt0134171,1,Um ihres Kindes Glück,Um ihres Kindes Glück,0,1915,0,0
tt0138976,4,Maximum Bob,Maximum Bob,0,1998,1998,60
tt0143707,2,My Mistress Electra,My Mistress Electra,1,1982,0,82
tt0148429,1,Lucky Pigs,Lucky Pigs,0,1939,0,7
tt0153079,9,Tiffany Tonight,Tiffany Tonight,1,1993,0,0
tt0157776,1,"Hsiao hai, tu ya, jia ting sheng huo chao","Hsiao hai, tu ya, jia ting sheng huo chao",0,1998,0,3
tt0162664,1,The Society Visit,The Society Visit,0,1915,0,0
tt0167559,4,Une chambre à louer,Une chambre à louer,0,1965,0,13
tt0172342,5,Dom,Dom,0,1972,0,10
tt0177054,1,Noz,Noz,0,1974,0,15
tt0181870,2,Tuff 5,Tuff 5,0,1992,0,0
tt0186701,2,A Woman and a Man,A Woman and a Man,0,1992,0,0
tt0191583,9,Triple Xposure,Triple Xposure,1,1986,0,77
tt0196391,2,"Bobeta, ilusión y despertar","Bobeta, ilusión y despertar",0,1973,0,0
tt0201289,2,Underground,Underground,0,1991,0,87
tt0206127,2,Maybe,Maybe,0,2000,0,0
tt0210944,1,La relève,La relève,0,1995,0,0
tt0215719,2,Dinner and a Movie,Dinner and a Movie,0,2001,0,85
tt0220525,9,A Hollywood Christmas,A Hollywood Christmas,0,1996,0,90
tt0225350,2,Caveman Rainbow,Caveman Rainbow,0,1993,0,0
tt0230094,2,I colori dell'arcobaleno,I colori dell'arcobaleno,0,1987,0,0
tt0234761,2,Society,Society,0,1955,0,0
tt0239444,2,El grito,El grito,0,2000,0,99
tt0244127,2,Mortal Sin,Pecado mortal,0,1955,0,103
tt0248846,6,Heinz Rühmann - der Clown,Heinz Rühmann - der Clown,0,1999,0,0
tt0253599,2,Room Service,Room Service,0,2000,0,0
tt0258293,1,A Visit to Peek Frean and Co.'s Biscuit Works,A Visit to Peek Frean and Co.'s Biscuit Works,0,1906,0,12
tt0263003,2,101 Sensual Ways of Making Love,101 Sensual Ways of Making Love,0,1993,0,55
tt0267734,1,Masques et visages de James Ensor,Masques et visages de James Ensor,0,1950,0,0
tt0272435,2,Abla,Abla,0,1941,0,0
tt0277160,6,Mr. Benjamin,Monsieur Benjamin,0,1987,0,0
tt0281834,1,En train de danser sur une musique de M. Muybridge,En train de danser sur une musique de M. Muybridge,0,1990,0,14
tt0286565,2,Crocotires Traction AAA,Crocotires Traction AAA,0,2000,0,0
tt0291295,2,Kiss My Grits: The Herstory of Women in Punk and Hard Rock,Kiss My Grits: The Herstory of Women in Punk and Hard Rock,0,2001,0,58
tt0295970,8,Funhouse,Funhouse,0,1986,0,0
tt0300678,2,Long Live Art,Yahia el fann,0,1948,0,0
tt0305472,4,That '80s Show,That '80s Show,0,2002,2002,30
tt0310140,9,Sexy Sirens,Sexy Sirens,1,2001,0,92
tt0314810,1,Die Türe,Die Türe,0,1976,0,13
tt0319480,2,Hafta Vasuli,Hafta Vasuli,0,1998,0,140
tt0324120,2,Stoney,Surabaya Conspiracy,0,1969,0,88
tt0328788,4,Power Stone,Power Stone,0,1999,1999,0
tt0333416,2,"Dark Night, Dark Place",Eodun bam eodun goshe,0,1992,0,90
tt0338027,1,Figlio di penna,Figlio di penna,0,2001,0,13
tt0342958,6,Samsø - februar 1997,Samsø - februar 1997,0,1997,0,0
tt0347574,1,A Motor-Boat Party,A Motor-Boat Party,0,1913,0,0
tt0352183,2,Asura Samhaaram,Asura Samhaaram,0,1988,0,0
tt0356803,2,Kunjikkoonan,Kunjikkoonan,0,2002,0,120
tt0361412,9,Bright Tails 5,Bright Tails 5,1,1995,0,0
tt0366082,4,"Rock Me, Baby","Rock Me, Baby",0,2003,2004,30
tt0370766,2,Igdenbu,Igdenbu,0,1930,0,76
tt0375425,4,Reina por un día,Reina por un día,0,1964,1965,50
tt0380054,1,The Wait,The Wait,0,2001,0,1
tt0384991,2,Heat After Dark,Heat After Dark,0,1996,0,50
tt0389620,4,Focus,Focus,0,1952,1957,30
tt0394230,3,Home Is Where the Heat Is,Home Is Where the Heat Is,0,1995,0,42
tt0398896,1,Crash Pad!,Crash Pad!,0,2000,0,17
tt0403508,2,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,0,2005,0,119
tt0408133,2,Raul - Diritto di uccidere,Raul - Diritto di uccidere,0,2005,0,97
tt0412734,6,Flops 101: Lessons from the Biz,Flops 101: Lessons from the Biz,0,2004,0,51
tt0417374,4,Viewfinder,Viewfinder,0,2003,2004,0
tt0421990,2,Cinesound Varieties,Cinesound Varieties,0,1934,0,48
tt0426590,2,Sugar,Sugar,0,2004,0,103
tt0431201,2,Kizim duymasin,Kizim duymasin,0,1967,0,78
tt0435827,1,Onésime champion de boxe,Onésime champion de boxe,0,1913,0,9
tt0440437,9,Goo Girls 16,Goo Girls 16,1,2004,0,0
tt0445049,1,Right Hook: A Tall Tail,Right Hook: A Tall Tail,0,2004,0,6
tt0449700,4,A Conquista Que Não Fiz,A Conquista Que Não Fiz,0,1959,0,0
tt0454341,4,Enigma,Enigma,0,1963,1964,50
tt0458951,9,Slexy 2,Slexy 2,1,2004,0,106
tt0463568,9,Lex Steele XXX 5,Lex Steele XXX 5,1,2005,0,195
tt0468193,1,Twelve Hours to Live,Twelve Hours to Live,0,1921,0,10
tt0472813,2,"Harry Hill, der Herr der Welt","Harry Hill, der Herr der Welt",0,1923,0,0
tt0477472,2,Solo,Solo,0,2006,0,90
tt0482123,9,Rock & Rye,Rock & Rye,1,2004,0,0
tt0486777,3,Muerte civil,Muerte civil,0,1971,0,0
tt0491388,6,Fugleelskerne,Fugleelskerne,0,1989,0,0
tt0496005,1,The Final Game,The Final Game,0,1913,0,0
tt0501028,3,Padres vs Hijos,Padres vs Hijos,0,2005,0,0
tt0505595,3,"Going, Going...","Going, Going...",0,1973,0,26
tt0510233,3,Episode #16.5,Episode #16.5,0,2001,0,0
tt0514794,3,House of Tears,House of Tears,0,1953,0,30
tt0519362,3,The Last of the Night Raiders,The Last of the Night Raiders,0,1960,0,30
tt0524124,3,Episode #2.21,Episode #2.21,0,2001,0,0
tt0528680,3,Episode #1.1547,Episode #1.1547,0,1993,0,0
tt0533213,3,Episode #2.11,Episode #2.11,0,2005,0,0
tt0537749,3,The Boy Who Walked to America,The Boy Who Walked to America,0,1956,0,30
tt0542295,3,See You in September,See You in September,0,1993,0,0
tt0546853,3,Episode #1.5804,Episode #1.5804,0,2004,0,0
tt0551400,3,The Benadryl Brownie,The Benadryl Brownie,0,2002,0,29
tt0555965,3,Episode dated 11 May 1990,Episode dated 11 May 1990,0,1990,0,0
tt0560503,3,"Maureen O'Hara, Shirley MacLaine, Howard Keel, Robert Wagner","Maureen O'Hara, Shirley MacLaine, Howard Keel, Robert Wagner",0,1957,0,60
tt0565101,3,A Candle in the Window,A Candle in the Window,0,1964,0,60
tt0569663,3,The Whiplash Kid Returns: Part 1,The Whiplash Kid Returns: Part 1,0,1988,0,0
tt0574310,3,Wine and Die,Wine and Die,0,2006,0,45
tt0578873,3,Incandescent Proposal,Incandescent Proposal,0,2004,0,0
tt0583421,3,Der talentierte Herr Riesche,Der talentierte Herr Riesche,0,1996,0,0
tt0587976,3,The Way,The Way,0,2000,0,0
tt0592497,3,Who Is the Fairest One of All?,Who Is the Fairest One of All?,0,1961,0,30
tt0597129,3,One for the Road,One for the Road,0,1975,0,60
tt0601672,3,El Capitan,El Capitan,0,1985,0,46
tt0606202,3,The Older Woman,The Older Woman,0,1979,0,0
tt0610738,3,One House and a Baby,One House and a Baby,0,1998,0,21
tt0615287,3,Episode dated 6 June 1994,Episode dated 6 June 1994,0,1994,0,0
tt0619832,3,Eenzame opsluiting,Eenzame opsluiting,0,1997,0,0
tt0624467,3,The Clones,The Clones,0,1969,0,50
tt0629009,3,Death Row: Part 2,Death Row: Part 2,0,1982,0,30
tt0633586,3,Episode dated 18 February 2004,Episode dated 18 February 2004,0,2004,0,0
tt0638106,3,Mugger Murder,Mugger Murder,0,1959,0,30
tt0642624,3,Episode #1.6,Episode #1.6,0,1999,0,0
tt0647164,3,Episode #3.6,Episode #3.6,0,2001,0,0
tt0651713,3,Plane Crashes: On a Wing and a Prayer,Plane Crashes: On a Wing and a Prayer,0,1995,0,0
tt0656261,3,Curt Russell,Curt Russell,0,1995,0,46
tt0660869,3,The Return of the Sorcerer,The Return of the Sorcerer,0,1972,0,26
tt0665436,3,Friends in High Places,Friends in High Places,0,1973,0,25
tt0670024,3,Episode dated 23 October 2004,Episode dated 23 October 2004,0,2004,0,0
tt0674541,3,Room 203,Room 203,0,1953,0,0
tt0679229,3,Miami,Miami,0,1953,0,0
tt0683784,3,Episode #3.2,Episode #3.2,0,2005,0,0
tt0688317,3,Episode dated 10 November 2005,Episode dated 10 November 2005,0,2005,0,0
tt0692843,3,"Hokuspokus, Arbeitsplatz - Werden Zauderer zu Zauberern?","Hokuspokus, Arbeitsplatz - Werden Zauderer zu Zauberern?",0,2002,0,0
tt0697378,3,Make Up Your Mind,Make Up Your Mind,0,2002,0,45
tt0701952,3,Liebeswahn,Liebeswahn,0,2004,0,46
tt0706474,3,Alien,Alien,0,1974,0,0
