title_id,order,aka_title,region,language,additional_attrs,is_original_title
tt0004551,1,A Rural Free Delivery Romance,US,\N,\N,0
tt0004551,2,A Rural Free Delivery Romance,\N,\N,\N,1
tt0004551,3,A Romance of the Rural Route,\N,\N,\N,0
tt0009119,1,"God Bless Our Red, White and Blue",\N,\N,\N,1
tt0009119,2,"God Bless Our Red, White and Blue",GB,\N,\N,0
tt0013698,1,Tracked to Earth,US,\N,\N,0
tt0013698,2,Tracked to Earth,\N,\N,\N,1
tt0018251,1,Pals in Peril,\N,\N,\N,1
tt0018251,2,Pals in Peril,US,\N,\N,0
tt0022864,1,The Expert,US,\N,\N,0
tt0022864,2,Old Man Minick,US,\N,\N,0
tt0022864,3,The Expert,\N,\N,\N,1
tt0022864,4,The Expert,GB,\N,\N,0
tt0027467,10,Exo apo ta synora,GR,\N,\N,0
tt0027467,11,丘の彼方へ,JP,ja,\N,0
tt0027467,12,Por nevadas sendas,ES,\N,\N,0
tt0027467,13,The Country Beyond,US,\N,\N,0
tt0027467,1,Hände hoch!,DE,\N,\N,0
tt0027467,2,Le traineau tragique,FR,\N,\N,0
tt0027467,3,Hände hoch!,AT,\N,\N,0
tt0027467,4,O Dever Acima de Tudo,BR,\N,\N,0
tt0027467,5,A Lei do Dever,PT,\N,\N,0
tt0027467,6,Mordet paa Fort Grey,DK,\N,\N,0
tt0027467,7,The Country Beyond,\N,\N,\N,1
tt0027467,8,Sever zove,XYU,sr,\N,0
tt0027467,9,Confini selvaggi,IT,\N,\N,0
tt0032050,10,Tractor Drivers,GB,\N,\N,0
tt0032050,11,Os Tratoristas,BR,\N,\N,0
tt0032050,12,Boldog ifjúság,HU,\N,\N,0
tt0032050,13,Трактористи,UA,\N,\N,0
tt0032050,14,Трактористы,RU,\N,\N,0
tt0032050,15,Traktoristy,\N,\N,\N,1
tt0032050,1,Junges Leben (Traktoristen),DE,\N,\N,0
tt0032050,2,Tractor Drivers,XWW,en,\N,0
tt0032050,3,Трактористы,SUHH,ru,\N,0
tt0032050,4,Traktoristi,XYU,sr,literal title,0
tt0032050,5,Tractor-Drivers,XWW,en,\N,0
tt0032050,6,Sången om jorden,SE,\N,\N,0
tt0032050,7,Tractor Drivers,US,\N,\N,0
tt0032050,8,Iloiset toverukset,FI,\N,\N,0
tt0032050,9,Górą dziewczęta!,PL,\N,\N,0
tt0036620,1,Aufruhr der Herzen,\N,\N,\N,1
tt0036620,2,Aufruhr der Herzen,DE,\N,\N,0
tt0041189,1,Blondie's Big Deal,\N,\N,\N,1
tt0041189,2,The Big Deal,GB,\N,\N,0
tt0041189,3,Blondie's Big Deal,US,\N,\N,0
tt0045779,1,Tässä tulee Hessu,FI,\N,video box title,0
tt0045779,2,Jan Långben som tjurfäktare,SE,\N,\N,0
tt0045779,3,For Whom the Bulls Toil,\N,\N,\N,1
tt0045779,4,Hessu härkätaistelijana,FI,\N,\N,0
tt0045779,5,Hvem brøler tyrene for?,DK,\N,\N,0
tt0045779,6,For Whom the Bulls Toil,US,\N,\N,0
tt0045779,7,O Toureiro,BR,\N,\N,0
tt0045779,8,По кому ревет бык,SUHH,ru,\N,0
tt0045779,9,グーフィーの闘牛士,JP,ja,\N,0
tt0050372,1,Die Fahrprüfung,\N,\N,\N,1
tt0050372,2,Die Fahrprüfung,AT,\N,\N,0
tt0055005,1,Igre na skelama,XYU,\N,\N,0
tt0059601,10,Pisztolyt Ringónak,HU,\N,\N,0
tt0059601,11,Ringo no perdona,AR,\N,\N,0
tt0059601,12,Eine Pistole für Ringo,AT,\N,\N,0
tt0059601,13,Una pistola para Ringo,UY,\N,original subtitled version,0
tt0059601,14,Пистолет за Ринго,BG,bg,\N,0
tt0059601,15,A Gun for Ringo,TH,en,\N,0
tt0059601,16,Ένα πιστόλι για το Ρίνγκο,GR,\N,\N,0
tt0059601,17,Tabancalı serseri,TR,tr,\N,0
tt0059601,18,A Pistol for Ringo,US,\N,\N,0
tt0059601,19,Uma Pistola para Ringo,PT,\N,\N,0
tt0059601,1,Giv Ringo pistolen!,DK,\N,\N,0
tt0059601,20,Una pistola per Ringo,IT,\N,\N,0
tt0059601,21,Baladã din Valea Mortii,RO,\N,\N,0
tt0059601,22,Пистолет для Ринго,SUHH,ru,\N,0
tt0059601,23,Ballad of Death Valley,US,\N,\N,0
tt0059601,24,Pistolet dla Ringa,PL,\N,\N,0
tt0059601,25,Una pistola para Ringo,AR,\N,\N,0
tt0059601,26,Uma Pistola para Ringo,BR,\N,\N,0
tt0059601,27,Pištolj za Ringa,XYU,sr,\N,0
tt0059601,28,Eine Pistole für Ringo,XWG,\N,\N,0
tt0059601,29,En pistol för Ringo,SE,\N,\N,0
tt0059601,2,Un pistolet pour Ringo,FR,\N,\N,0
tt0059601,30,Posledniot sudir,XYU,mk,\N,0
tt0059601,31,A Pistol for Ringo,XWW,en,\N,0
tt0059601,32,Ringo - tappaja,FI,\N,\N,0
tt0059601,33,Ο Σαρτάνα στην κόλαση των αετών,GR,\N,reissue title,0
tt0059601,34,Ringo,NO,\N,\N,0
tt0059601,3,Una pistola para Ringo,ES,\N,\N,0
tt0059601,4,Ringo: The Killer,XWW,en,\N,0
tt0059601,5,Una pistola per Ringo,\N,\N,\N,1
tt0059601,6,A Pistol for Ringo,GB,\N,\N,0
tt0059601,7,夕陽の用心棒,JP,ja,\N,0
tt0059601,8,快鎗旋風俠,TW,\N,\N,0
tt0059601,9,A Pistol for Ringo,IE,en,\N,0
tt0064242,1,Zwei Männer und der Tod,DDDE,\N,dubbed version,0
tt0064242,2,Two Men for One Death,\N,\N,\N,0
tt0064242,3,Két élet egy halálért,HU,\N,\N,0
tt0064242,4,Doi barbati pentru o moarte,\N,\N,\N,1
tt0064242,5,Doi barbati pentru o moarte,RO,\N,\N,0
tt0064242,6,Doi barbati pentru o moarte,US,\N,\N,0
tt0068839,1,Legende contemporane,RO,\N,\N,0
tt0068839,2,Legende contemporane,\N,\N,\N,1
tt0068839,3,Contemporary Legends,\N,\N,\N,0
tt0073477,1,Les oeillets fanes,\N,\N,\N,1
tt0073477,2,Les oeillets fanes,PT,\N,\N,0
tt0078095,1,A fekete varázsló ajándéka,HU,\N,\N,0
tt0078095,2,Podarok chyornogo kolduna,\N,\N,\N,1
tt0078095,3,Das Geschenk des schwarzen Zauberers,DDDE,\N,\N,0
tt0078095,4,Подарок черного колдуна,SUHH,ru,\N,0
tt0078095,5,The Black Wizard's Gift,\N,\N,\N,0
tt0082739,1,El vecindario,MX,\N,\N,0
tt0082739,2,Los mexicanos calientes,\N,\N,\N,1
tt0087367,1,Grummetzeit,AT,\N,\N,0
tt0087367,2,Grummetzeit,\N,\N,\N,1
tt0091970,10,Ruhe unsanft,XWG,\N,\N,0
tt0091970,11,Neiti Marplen viimeinen juttu,FI,\N,\N,0
tt0091970,12,Мисс Марпл: Забытое убийство,SUHH,ru,\N,0
tt0091970,13,Un crimen dormido,ES,\N,\N,0
tt0091970,14,Міс Марпл: Забуте вбивство,UA,\N,\N,0
tt0091970,15,Miss Marple: Crima din trecut,RO,\N,\N,0
tt0091970,16,Takard el az arcát,HU,\N,\N,0
tt0091970,17,Miss Marple: Sleeping Murder,US,\N,\N,0
tt0091970,1,Agatha Christie's Miss Marple: Sleeping Murder,GB,\N,\N,0
tt0091970,2,Addio Miss Marple,IT,\N,\N,0
tt0091970,3,Мисс Марпл: Забытое убийство,RU,\N,\N,0
tt0091970,4,La dernière énigme,FR,\N,\N,0
tt0091970,5,Agatha Christie's Miss Marple: Sleeping Murder,AU,\N,\N,0
tt0091970,6,Стаена смърт,BG,bg,\N,0
tt0091970,7,Uspione morderstwo,PL,\N,\N,0
tt0091970,8,Miss Marple: Sleeping Murder,\N,\N,\N,1
tt0091970,9,Miss Marple: Asesinato Dormido,ES,\N,\N,0
tt0096583,1,Romanze ohne Ende,DE,\N,\N,0
tt0096583,2,In due si ama meglio,IT,\N,\N,0
tt0096583,3,A Fine Romance,US,\N,\N,0
tt0096583,4,A Fine Romance,\N,\N,\N,1
tt0096583,5,Ticket to Ride,GB,\N,\N,0
tt0101211,1,The Sunday Comics,US,\N,\N,0
tt0101211,2,The Sunday Comics,\N,\N,\N,1
tt0105808,1,Where Are We? Our Trip Through America,GB,\N,\N,0
tt0105808,2,Where Are We? Our Trip Through America,\N,\N,\N,1
tt0105808,3,Where Are We? Our Trip Through America,US,\N,\N,0
tt0110425,10,Машина,RU,\N,\N,0
tt0110425,11,I mihani,GR,\N,\N,0
tt0110425,12,La máquina,MX,\N,\N,0
tt0110425,13,Ondskans bödel,SE,\N,\N,0
tt0110425,14,Memórias do Mal,BR,\N,\N,0
tt0110425,15,Die Maschine,DE,\N,\N,0
tt0110425,1,Машината,BG,bg,\N,0
tt0110425,2,La machine - Un corpo in prestito,IT,\N,\N,0
tt0110425,3,Pahan pyöveli,FI,\N,\N,0
tt0110425,4,The Machine,\N,\N,\N,0
tt0110425,5,La machine,\N,\N,\N,1
tt0110425,6,ザ・マシーン 私のなかの殺人者,JP,ja,\N,0
tt0110425,7,Perigo Alucinante,PT,\N,\N,0
tt0110425,8,La machine,ES,\N,\N,0
tt0110425,9,La machine,FR,\N,\N,0
tt0115058,1,Zijn geheim,NL,\N,\N,0
tt0115058,2,Zijn geheim,\N,\N,\N,1
tt0115058,3,His Secret,\N,\N,\N,0
tt0119759,1,Nascido em 1900,\N,\N,\N,1
tt0119759,2,Nascido em 1900,PT,\N,\N,0
tt0124704,1,Hard Discipline 2: The Lady's Maid,US,\N,\N,0
tt0129439,1,The Training 2,US,\N,\N,0
tt0129439,2,The Training 2,\N,\N,\N,1
tt0134171,1,Um ihres Kindes Glück,\N,\N,\N,1
tt0134171,2,Um ihres Kindes Glück,DE,\N,\N,0
tt0138976,1,Maximum Bob,US,\N,\N,0
tt0138976,2,Maximum Bob,\N,\N,\N,1
tt0138976,3,Maximum Bob,FR,\N,\N,0
tt0138976,4,Maximum Bob,SG,en,\N,0
tt0143707,1,My Mistress Electra,US,\N,\N,0
tt0143707,2,Mistress Electra,US,\N,promotional abbreviation,0
tt0143707,3,My Mistress Electra,\N,\N,\N,1
tt0148429,1,Lucky Pigs,US,\N,\N,0
tt0148429,2,Color Rhapsodies (1938-1939 Season) #10: Lucky Pigs,US,\N,series title,0
tt0148429,3,Lucky Pigs,\N,\N,\N,1
tt0153079,1,Tiffany de noche,VE,\N,\N,0
tt0153079,2,Tiffany Tonight,US,\N,\N,0
tt0153079,3,Tiffany Tonight,\N,\N,\N,1
tt0157776,1,"Hsiao hai, tu ya, jia ting sheng huo chao",TW,\N,\N,0
tt0157776,2,"Hsiao hai, tu ya, jia ting sheng huo chao",\N,\N,\N,1
tt0162664,1,The Society Visit,GB,\N,\N,0
tt0162664,2,The Society Visit,\N,\N,\N,1
tt0167559,1,Villa rose,FR,\N,\N,0
tt0167559,2,Une chambre à louer,\N,\N,\N,1
tt0167559,3,Une chambre à louer,FR,\N,\N,0
tt0172342,1,Dom,XYU,\N,\N,0
tt0177054,1,Noz,XYU,\N,\N,0
tt0181870,1,Tuff 5,JP,\N,\N,0
tt0191583,1,Triple Xposure,US,\N,\N,0
tt0191583,2,Triple Xposure,\N,\N,\N,1
tt0196391,1,"Bobeta, ilusión y despertar",AR,\N,\N,0
tt0196391,2,"Bobeta, ilusión y despertar",\N,\N,\N,1
tt0201289,1,Siluetas en la oscuridad,AR,\N,\N,0
tt0201289,2,Underground,\N,\N,\N,1
tt0201289,3,Underground,US,\N,\N,0
tt0210944,1,La relève,IL,\N,\N,0
tt0215719,1,Dinner and a Movie,\N,\N,\N,1
tt0215719,2,Dinner and a Movie,US,\N,\N,0
tt0220525,1,A Hollywood Christmas,US,\N,\N,0
tt0220525,2,A Hollywood Christmas,\N,\N,\N,1
tt0225350,1,Caveman Rainbow,CA,\N,\N,0
tt0230094,1,I colori dell'arcobaleno,\N,\N,\N,1
tt0230094,2,I colori dell'arcobaleno,IT,\N,\N,0
tt0234761,1,Society,IN,\N,\N,0
tt0239444,1,El grito,MX,\N,\N,0
tt0239444,2,El grito,\N,\N,\N,1
tt0239444,3,Bloody Proof,\N,\N,\N,0
tt0244127,1,Pecado mortal,\N,\N,\N,1
tt0244127,2,Pecado mortal,MX,\N,\N,0
tt0244127,3,Mortal Sin,XWW,en,\N,0
tt0248846,1,Heinz Rühmann - der Clown,\N,\N,\N,1
tt0248846,2,Heinz Rühmann - der Clown,DE,\N,\N,0
tt0253599,1,Room Service,\N,\N,\N,1
tt0253599,2,Room Service,US,\N,\N,0
tt0253599,3,Room Service,CH,\N,\N,0
tt0258293,1,Látogatás a Peek Frean sütigyárban,HU,\N,\N,0
tt0258293,2,A Visit to Peek Frean and Co.'s Biscuit Works,\N,\N,\N,1
tt0258293,3,A Visit to Peek Frean and Co.'s Biscuit Works,GB,\N,\N,0
tt0258293,4,A Visit to Peek Frean and Co.'s Biscuit Works,BR,\N,\N,0
tt0263003,1,101 Sensual Ways of Making Love,US,\N,\N,0
tt0263003,2,101 Sensual Ways of Making Love,\N,\N,\N,1
tt0267734,1,Masques et visages de James Ensor,BE,\N,\N,0
tt0272435,1,Abla,IN,\N,\N,0
tt0277160,1,Monsieur Benjamin,\N,\N,\N,1
tt0277160,2,Monsieur Benjamin,FR,\N,\N,0
tt0277160,3,Mr. Benjamin,US,\N,\N,0
tt0281834,1,Dancing to the Music of Mr. Muybridge,CA,en,\N,0
tt0281834,2,En train de danser sur une musique de M. Muybridge,\N,\N,\N,1
tt0281834,3,En train de danser sur une musique de M. Muybridge,US,\N,\N,0
tt0286565,1,Crocotires Traction AAA,JP,\N,\N,0
tt0291295,1,Kiss My Grits: The Herstory of Women in Punk and Hard Rock,US,\N,\N,0
tt0295970,1,Funhouse,GB,\N,\N,0
tt0295970,2,Funhouse,\N,\N,\N,1
tt0300678,1,Long Live Art,XWW,en,\N,0
tt0300678,2,Yahia el fann,\N,\N,\N,1
tt0300678,3,Yahia el fann,EG,\N,\N,0
tt0305472,10,That '80s Show,CA,fr,\N,0
tt0305472,11,That '80s Show,CA,en,\N,0
