title_id,talent_id,order,category_id,job,role_names
tt0004551,nm0550780,1,7,\N,Fred - a Rural Mail Driver
tt0004551,nm0652479,2,8,\N,Ruth - Fred's Sweetheart
tt0004551,nm0428895,3,7,\N,Post Office Inspector
tt0004551,nm0782750,4,7,\N,Mail Driver
tt0004551,nm0339765,5,2,\N,\N
tt0009119,nm0255695,1,8,\N,The Wife
tt0009119,nm0621416,2,7,\N,Thomas Atkinson
tt0009119,nm0864452,3,8,\N,The Nurse
tt0009119,nm0924893,4,7,\N,John Hargreaves
tt0009119,nm0934010,5,2,\N,\N
tt0009119,nm0760547,6,9,writer,\N
tt0009119,nm0611692,7,7,\N,The Fiancee
tt0009119,nm0942621,8,8,\N,The Woman
tt0009119,nm0507517,9,7,\N,The Son
tt0013698,nm0589596,10,7,\N,'Big Bill' Angus
tt0013698,nm0562866,1,7,\N,Charles Cranner
tt0013698,nm0885128,2,8,\N,Anna Jones
tt0013698,nm0329467,3,7,\N,Dick Jones
tt0013698,nm0497200,4,7,\N,Stub Lou Tate
tt0013698,nm0941782,5,2,\N,\N
tt0013698,nm0166777,6,9,scenario,\N
tt0013698,nm0624618,7,9,"story ""Tracked to Earth in the Saturday Evening Post""",\N
tt0013698,nm0484154,8,3,\N,\N
tt0013698,nm0175413,9,7,\N,Shorty Fuller
tt0018251,nm0511966,10,7,\N,Luther Fox
tt0018251,nm0932912,1,7,\N,Bill Gordon
tt0018251,nm0367891,2,8,\N,Mary Bassett
tt0018251,nm0653989,3,7,\N,Shorty Gilmore
tt0018251,nm0372487,4,7,\N,Blackie Burns
tt0018251,nm0861703,5,2,\N,\N
tt0018251,nm0168031,6,9,story,\N
tt0018251,nm0120762,7,9,scenario,\N
tt0018251,nm0726336,8,3,\N,\N
tt0018251,nm0392912,9,7,\N,Sheriff Kipp
tt0022864,nm0005764,10,3,\N,\N
tt0022864,nm0757925,1,7,\N,Grandpa John T. Minick
tt0022864,nm0601129,2,7,\N,Dickie
tt0022864,nm0933773,3,8,\N,Nettie Minick
tt0022864,nm0363753,4,7,\N,Jim Crowley
tt0022864,nm0562845,5,2,\N,\N
tt0022864,nm0272209,6,9,"adapted from the play: ""Minick"" by",\N
tt0022864,nm0442151,7,9,"adapted from the play: ""Minick"" by",\N
tt0022864,nm0430756,8,9,adaptation and dialogue by,\N
tt0022864,nm0398021,9,9,adaptation and dialogue by,\N
tt0027467,nm0107756,10,9,contributing writer,\N
tt0027467,nm0399955,1,8,\N,Jean Alison
tt0027467,nm0446769,2,7,\N,Sgt. Cassidy
tt0027467,nm0448836,3,7,\N,Corporal Robert King
tt0027467,nm0002118,4,7,\N,Jim Alison
tt0027467,nm0285946,5,2,\N,\N
tt0027467,nm0193617,6,9,story,\N
tt0027467,nm0173532,7,9,screenplay,\N
tt0027467,nm0873707,8,9,screenplay,\N
tt0027467,nm0058179,9,9,contributing writer,\N
tt0032050,nm0474498,10,6,\N,\N
tt0032050,nm0480651,1,8,\N,Maryana Bazhan
tt0032050,nm0473041,2,7,\N,Klim Yarko
tt0032050,nm0028308,3,7,\N,Nazar Duma
tt0032050,nm0443508,4,7,\N,Kirill Petrovich
tt0032050,nm0701576,5,2,\N,\N
tt0032050,nm0690127,6,9,screenplay,\N
tt0032050,nm0688716,7,4,\N,\N
tt0032050,nm1127125,8,4,\N,\N
tt0032050,nm0303306,9,3,\N,\N
tt0036620,nm0524972,10,6,\N,\N
tt0036620,nm0462364,1,8,\N,Anna Brugger
tt0036620,nm0694918,2,7,\N,Franz Atzinger
tt0036620,nm0368394,3,7,\N,Thomas Volderauer
tt0036620,nm0381031,4,7,\N,Raimund Brugger
tt0036620,nm0618170,5,2,\N,\N
tt0036620,nm0474185,6,9,\N,\N
tt0036620,nm0006114,7,4,\N,\N
tt0036620,nm0071260,8,3,\N,\N
tt0036620,nm0005928,9,3,\N,\N
tt0041189,nm0061151,10,6,\N,\N
tt0041189,nm0802325,1,8,\N,Blondie Bumstead
tt0041189,nm0482121,2,7,\N,Dagwood Bumstead
tt0041189,nm0799982,3,7,\N,Alexander Bumstead
tt0041189,nm0616080,4,8,\N,Cookie Bumstead
tt0041189,nm0076618,5,2,\N,\N
tt0041189,nm0377137,6,9,story,\N
tt0041189,nm0949382,7,9,comic strip characters,\N
tt0041189,nm0725159,8,5,producer,\N
tt0041189,nm0005702,9,3,director of photography,\N
tt0045779,nm0579085,1,7,\N,Solo-Trumpet
tt0045779,nm0173416,2,7,\N,Goofy
tt0045779,nm0304881,3,7,\N,"Radio Announcer,Singing trio,man on telephone"
tt0045779,nm0455741,4,2,\N,\N
tt0045779,nm0725439,5,2,\N,\N
tt0045779,nm0532947,6,9,story,\N
tt0045779,nm0455733,7,9,story,\N
tt0045779,nm0006049,8,4,\N,\N
tt0055005,nm0904325,10,3,\N,\N
tt0055005,nm0469342,1,8,\N,Bojana
tt0055005,nm0227347,2,7,\N,Stasa
tt0055005,nm0759685,3,7,\N,Gvardijan
tt0055005,nm0070524,4,7,\N,Gogo
tt0055005,nm0923370,5,2,\N,\N
tt0055005,nm0228234,6,9,\N,\N
tt0055005,nm0698515,7,4,\N,\N
tt0055005,nm0127980,8,3,\N,\N
tt0055005,nm0765189,9,3,\N,\N
tt0059601,nm0700095,10,5,producer,\N
tt0059601,nm0312575,1,7,\N,Ringo Angel Face
tt0059601,nm0761100,2,7,\N,Sancho
tt0059601,nm0209905,3,8,\N,Miss Ruby
tt0059601,nm0622980,4,8,\N,Dolores
tt0059601,nm0856319,5,2,\N,\N
tt0059601,nm0049617,6,9,screenplay collaborator,\N
tt0059601,nm0217258,7,9,screenplay collaborator,\N
tt0059601,nm0223964,8,9,screenplay collaborator,\N
tt0059601,nm0258712,9,5,producer,\N
tt0064242,nm0691042,10,10,\N,\N
tt0064242,nm0018933,1,7,\N,Demeter
tt0064242,nm0315826,2,8,\N,Marisca
tt0064242,nm0162524,3,7,\N,Pavel Costan
tt0064242,nm0070387,4,7,\N,Brunetul
tt0064242,nm0619321,5,2,\N,\N
tt0064242,nm1576335,6,9,writer,\N
tt0064242,nm0135318,7,4,\N,\N
tt0064242,nm0821955,8,3,\N,\N
tt0064242,nm0619320,9,6,\N,\N
tt0068839,nm0619321,1,2,\N,\N
tt0073477,nm0689791,1,2,\N,\N
tt0078095,nm0890602,10,6,\N,\N
tt0078095,nm0464967,1,8,\N,Vasilisa
tt0078095,nm0790202,2,7,\N,Ivan
tt0078095,nm0200213,3,8,\N,Matrona
tt0078095,nm0015253,4,8,\N,Pugalitsa
tt0078095,nm0753473,5,2,\N,\N
tt0078095,nm0299549,6,9,\N,\N
tt0078095,nm0647838,7,9,\N,\N
